Unnamed: 0,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,RoundNumber,EventName,Session,Date
10,0 days 00:10:44.938000,0.37606837606837606,0.25352112676056343,0.9606135986733007,False,0.44543429844098,0.3027777777777778,0.5294117647058824,1,Bahrain Grand Prix,FP1,02-03-2024
11,0 days 00:11:44.943000,0.37606837606837606,0.25352112676056343,0.9606135986733007,False,0.4498886414253896,0.2,0.4705882352941177,1,Bahrain Grand Prix,FP1,02-03-2024
12,0 days 00:12:44.943000,0.37606837606837606,0.23943661971830993,0.9610281923714767,False,0.4498886414253896,0.16111111111111112,0.4705882352941177,1,Bahrain Grand Prix,FP1,02-03-2024
13,0 days 00:13:44.959000,0.3803418803418803,0.22535211267605632,0.9606135986733007,False,0.4498886414253896,0.19444444444444445,0.4117647058823529,1,Bahrain Grand Prix,FP1,02-03-2024
14,0 days 00:14:44.958000,0.3803418803418803,0.2112676056338028,0.9610281923714767,False,0.44543429844098,0.14166666666666666,0.5,1,Bahrain Grand Prix,FP1,02-03-2024
15,0 days 00:15:44.959000,0.3803418803418803,0.2112676056338028,0.9606135986733007,False,0.443207126948775,0.22222222222222224,0.5441176470588236,1,Bahrain Grand Prix,FP1,02-03-2024
16,0 days 00:16:44.983000,0.37606837606837606,0.22535211267605632,0.9610281923714767,False,0.443207126948775,0.20833333333333334,0.4411764705882353,1,Bahrain Grand Prix,FP1,02-03-2024
17,0 days 00:17:44.978000,0.37606837606837606,0.23943661971830993,0.9606135986733007,False,0.443207126948775,0.25833333333333336,0.5441176470588236,1,Bahrain Grand Prix,FP1,02-03-2024
18,0 days 00:18:44.979000,0.37606837606837606,0.23943661971830993,0.9610281923714767,False,0.443207126948775,0.17777777777777778,0.4117647058823529,1,Bahrain Grand Prix,FP1,02-03-2024
19,0 days 00:19:44.980000,0.37606837606837606,0.23943661971830993,0.9610281923714767,False,0.4387527839643652,0.18055555555555555,0.3823529411764706,1,Bahrain Grand Prix,FP1,02-03-2024
20,0 days 00:20:44.973000,0.37606837606837606,0.22535211267605632,0.9610281923714767,False,0.4387527839643652,0.17222222222222222,0.4558823529411765,1,Bahrain Grand Prix,FP1,02-03-2024
21,0 days 00:21:44.982000,0.3717948717948717,0.23943661971830993,0.9610281923714767,False,0.43429844097995546,0.1388888888888889,0.5882352941176471,1,Bahrain Grand Prix,FP1,02-03-2024
22,0 days 00:22:44.966000,0.36752136752136755,0.23943661971830993,0.9606135986733007,False,0.43429844097995546,0.125,0.4558823529411765,1,Bahrain Grand Prix,FP1,02-03-2024
23,0 days 00:23:44.975000,0.3803418803418803,0.23943661971830993,0.9606135986733007,False,0.42761692650334066,0.14166666666666666,0.4264705882352941,1,Bahrain Grand Prix,FP1,02-03-2024
24,0 days 00:24:44.983000,0.3846153846153846,0.23943661971830993,0.9601990049751246,False,0.42761692650334066,0.18333333333333335,0.5294117647058824,1,Bahrain Grand Prix,FP1,02-03-2024
25,0 days 00:25:44.995000,0.38888888888888884,0.23943661971830993,0.9601990049751246,False,0.4253897550111357,0.28055555555555556,0.5147058823529412,1,Bahrain Grand Prix,FP1,02-03-2024
26,0 days 00:26:45,0.38888888888888884,0.23943661971830993,0.9601990049751246,False,0.42761692650334066,0.15,0.3970588235294118,1,Bahrain Grand Prix,FP1,02-03-2024
27,0 days 00:27:44.992000,0.38888888888888884,0.23943661971830993,0.9606135986733007,False,0.42761692650334066,0.09722222222222222,0.4411764705882353,1,Bahrain Grand Prix,FP1,02-03-2024
28,0 days 00:28:45.001000,0.38888888888888884,0.23943661971830993,0.9606135986733007,False,0.42761692650334066,0.25833333333333336,0.3088235294117647,1,Bahrain Grand Prix,FP1,02-03-2024
29,0 days 00:29:45.002000,0.3846153846153846,0.25352112676056343,0.9610281923714767,False,0.42761692650334066,0.2638888888888889,0.3970588235294118,1,Bahrain Grand Prix,FP1,02-03-2024
30,0 days 00:30:45.004000,0.3846153846153846,0.25352112676056343,0.9606135986733007,False,0.4320712694877505,0.225,0.5294117647058824,1,Bahrain Grand Prix,FP1,02-03-2024
31,0 days 00:31:45.020000,0.3803418803418803,0.23943661971830993,0.9601990049751246,False,0.4320712694877505,0.18333333333333335,0.36764705882352944,1,Bahrain Grand Prix,FP1,02-03-2024
32,0 days 00:32:45.017000,0.37606837606837606,0.23943661971830993,0.9610281923714767,False,0.42093541202672596,0.2388888888888889,0.4411764705882353,1,Bahrain Grand Prix,FP1,02-03-2024
