Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,RoundNumber,EventName,Session,Date
0 days 01:10:44.909000,17.3,34,1017.4,FALSE,21.3,76,2.7,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 01:11:44.906000,17.4,35,1017.4,FALSE,21.2,112,1.8,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 01:12:44.909000,17.4,35,1017.5,FALSE,21.2,41,1.3,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 01:13:44.916000,17.3,35,1017.5,FALSE,21.2,41,1.3,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 01:14:44.941000,17.3,36,1017.4,FALSE,21.3,89,2.2,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 01:15:44.951000,17.3,36,1017.4,FALSE,21.2,71,3,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 01:16:44.960000,17.4,36,1017.4,FALSE,21.1,72,1.4,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 01:17:44.957000,17.4,36,1017.5,FALSE,21.2,120,1.6,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 01:18:44.970000,17.4,36,1017.4,FALSE,21.2,93,1.7,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 01:19:44.977000,17.3,36,1017.4,FALSE,21.1,67,1.7,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 01:20:44.979000,17.3,36,1017.6,FALSE,21.2,91,2.9,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 01:21:44.979000,17.3,36,1017.6,FALSE,21.1,66,1.2,1,Bahrain Grand Prix,FP2,02-03-2024
0 days 00:00:49.898000,20.6,30,1017.6,FALSE,35.2,62,2.6,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:01:49.895000,20.6,30,1017.7,FALSE,35.1,83,3.4,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:02:49.949000,20.6,30,1017.6,FALSE,35,61,2.8,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:03:49.895000,20.5,30,1017.7,FALSE,34.9,37,2.9,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:04:49.895000,20.5,31,1017.7,FALSE,34.8,44,3.7,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:05:49.899000,20.5,31,1017.4,FALSE,34.3,45,2.2,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:06:49.909000,20.5,31,1017.5,FALSE,34.3,41,3.7,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:07:49.904000,20.5,31,1017.5,FALSE,34.3,49,3.3,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:08:49.905000,20.5,32,1017.6,FALSE,34.3,67,2.9,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:09:49.904000,20.5,32,1017.6,FALSE,34.3,55,2.7,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:10:49.903000,20.4,32,1017.6,FALSE,34.1,55,2.8,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:11:49.900000,20.4,33,1017.6,FALSE,34,60,2.8,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:12:49.907000,20.4,33,1017.6,FALSE,33.7,42,2.3,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:13:49.907000,20.4,33,1017.6,FALSE,34.1,65,2.8,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:14:49.903000,20.5,33,1017.5,FALSE,33.9,62,2.6,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:15:49.901000,20.5,33,1017.5,FALSE,34,82,3.4,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:16:49.911000,20.4,33,1017.6,FALSE,34,78,1.9,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:17:49.911000,20.4,33,1017.6,FALSE,34,51,2.3,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:18:49.900000,20.4,33,1017.5,FALSE,34.1,61,2.5,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:19:49.896000,20.5,33,1017.6,FALSE,33.9,57,2.7,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:20:49.911000,20.4,33,1017.6,FALSE,33.7,46,3.2,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:21:49.901000,20.4,34,1017.6,FALSE,33.6,52,2.6,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:22:49.914000,20.4,33,1017.6,FALSE,33.4,61,3,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:23:49.917000,20.4,32,1017.6,FALSE,33.3,52,2.7,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:24:49.907000,20.5,33,1017.6,FALSE,33.1,49,3.5,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:25:49.906000,20.5,33,1017.6,FALSE,33,45,3.2,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:26:49.917000,20.4,34,1017.7,FALSE,32.8,48,4,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:27:49.915000,20.3,35,1017.6,FALSE,32.8,64,3,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:28:49.920000,20.3,35,1017.6,FALSE,32.7,53,3.5,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:29:49.897000,20.3,35,1017.6,FALSE,32.7,43,3.1,1,Bahrain Grand Prix,FP3,02-03-2024
