Time,Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,FreshTyre,Team,Position,RoundNumber,GP,Session,Date
0 days 01:18:17.754000,BOT,77,0.7560047372553196,20,5.0,0.29305100947194623,0.5161005316883076,0.2497126242477517,SOFT,0.14102564102564102,0,Kick Sauber,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:19:21.488000,GAS,10,0.4240774993679226,2,1.0,0.21127943689714102,0.3783822160516227,0.1067820677530597,MEDIUM,0.02564102564102564,1,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:21:37.962000,GAS,10,0.9602256849725213,3,1.0,0.46124322915158017,0.6791410946152755,0.16045709649063494,MEDIUM,0.038461538461538464,1,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:23:13.846000,GAS,10,0.4200987371754783,4,1.0,0.2090055904759146,0.3794235047252418,0.10396916627222941,MEDIUM,0.05128205128205128,1,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:27:21.208000,GAS,10,0.4194733130181374,6,1.0,0.206413115893752,0.3762207531988072,0.10849956048414366,MEDIUM,0.07692307692307693,1,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:29:23.963000,GAS,10,0.7776683655138459,7,1.0,0.3066216725081829,0.5753751005790197,0.20824937453512748,MEDIUM,0.08974358974358974,1,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:31:42.545000,GAS,10,0.9882766237741021,8,2.0,0.7651420791935812,0.390909234337283,0.1522618162147542,MEDIUM,0.10256410256410256,0,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:46:32.929000,GAS,10,0.4243968648950751,10,3.0,0.21098977493265358,0.3824211539371756,0.10391507201298261,MEDIUM,0.02564102564102564,1,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:48:46.578000,GAS,10,0.922633701047253,11,3.0,0.440184804333343,0.6759383430888409,0.1446615727905876,MEDIUM,0.038461538461538464,1,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:50:21.722000,GAS,10,0.41025163342160265,12,3.0,0.20658691307244448,0.3701150150671315,0.10419906687402802,MEDIUM,0.05128205128205128,1,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:54:17.481000,GAS,10,0.41073068171233174,14,3.0,0.20813660458245226,0.37103008693182715,0.1024545270133207,MEDIUM,0.07692307692307693,1,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:56:20.032000,GAS,10,0.7749537585330479,15,3.0,0.29664281783159047,0.5991511919599893,0.1944282912975861,MEDIUM,0.08974358974358974,1,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:07:40.566000,GAS,10,0.4799930804135786,17,4.0,0.23356892506444982,0.40933688844011806,0.11626208668605048,MEDIUM,0.11538461538461538,0,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:09:21.355000,GAS,10,0.48536906678731606,18,4.0,0.23704486863829916,0.41280785068551507,0.11550476705659612,MEDIUM,0.1282051282051282,0,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:11:01.236000,GAS,10,0.4732864043433713,19,4.0,0.22925296179358684,0.40532950475679597,0.1169112177970113,MEDIUM,0.14102564102564102,0,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:12:41.925000,GAS,10,0.4840383770908463,20,4.0,0.2342206644845466,0.4142593439881357,0.11554533775103115,MEDIUM,0.15384615384615385,0,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:14:21.892000,GAS,10,0.4744307974823352,21,4.0,0.23200475045621766,0.40581859489137473,0.11508553654743392,MEDIUM,0.16666666666666666,0,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:16:01.788000,GAS,10,0.4734860077978418,22,4.0,0.23041160965153662,0.40586592619472106,0.11557238488065458,MEDIUM,0.1794871794871795,0,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:18:08.929000,GAS,10,0.8360324156010062,23,4.0,0.24427193465226077,0.5724090055693167,0.3283251064980729,MEDIUM,0.1923076923076923,0,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:20:15.934000,HAM,44,0.8173894529534658,2,1.0,0.30872172175071694,0.6930091664957482,0.14582459936439246,MEDIUM,0.02564102564102564,1,Mercedes,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:21:50.564000,HAM,44,0.40341188838174835,3,1.0,0.20393650609738434,0.37554233785084334,0.09507066062614106,MEDIUM,0.038461538461538464,1,Mercedes,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:28:32.695000,HAM,44,0.394030526021637,6,2.0,0.2010543695507343,0.3676222330908919,0.09501656636689437,MEDIUM,0.07692307692307693,0,Mercedes,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:30:30.424000,HAM,44,0.7107879013692797,7,2.0,0.26525794397937613,0.5938027546818548,0.16310771519372508,MEDIUM,0.08974358974358974,0,Mercedes,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:49:37.204000,HAM,44,0.38574032921263113,9,3.0,0.19811430061118673,0.3597021283309405,0.09612549868145243,MEDIUM,0.02564102564102564,1,Mercedes,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:51:41.347000,HAM,44,0.7961383385008451,10,3.0,0.32207513831358797,0.6292065695849045,0.16644803570221112,MEDIUM,0.038461538461538464,1,Mercedes,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:01:37.435000,HAM,44,0.44200188957936914,12,4.0,0.2192016916258726,0.3913667702696306,0.10647102576239098,MEDIUM,0.0641025641025641,0,Mercedes,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:03:15.185000,HAM,44,0.4449294069116023,13,4.0,0.22091069721634854,0.39284981777448214,0.10657921428088446,MEDIUM,0.07692307692307693,0,Mercedes,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:04:52.755000,HAM,44,0.4425341654579569,14,4.0,0.22022999159980305,0.3910670053484373,0.10630874298465076,MEDIUM,0.08974358974358974,0,Mercedes,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:06:30.811000,HAM,44,0.4490013173827996,15,4.0,0.22477768444225588,0.39318113689790646,0.10682263844749479,MEDIUM,0.10256410256410256,0,Mercedes,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:08:08.882000,HAM,44,0.44920092083727003,16,4.0,0.22140312255597716,0.3937333354369468,0.10970315775238354,MEDIUM,0.11538461538461538,0,Mercedes,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:09:46.865000,HAM,44,0.44802991390437685,17,4.0,0.21996929583176433,0.3961945632109557,0.10774224085468931,MEDIUM,0.1282051282051282,0,Mercedes,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:11:25.022000,HAM,44,0.4503453139762339,18,4.0,0.22170726761868903,0.3930864742912138,0.11113665562242209,MEDIUM,0.14102564102564102,0,Mercedes,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:13:05.855000,HAM,44,0.48595457025376265,19,4.0,0.22202589577962517,0.39895555590615783,0.14199743052268576,MEDIUM,0.15384615384615385,0,Mercedes,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:15:08.316000,HAM,44,0.773756137806225,20,5.0,0.5782811459027315,0.3937806667402931,0.10626817229021568,MEDIUM,0.10256410256410256,0,Mercedes,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:17:05.065000,HAM,44,0.6977471423438768,21,5.0,0.3020739796657301,0.4690847703642933,0.2223814997633376,MEDIUM,0.11538461538461538,0,Mercedes,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:19:20.830000,HAM,44,0.9507910950245511,22,5.0,0.7248790661298266,0.40181121120805263,0.14241666103184802,MEDIUM,0.1282051282051282,0,Mercedes,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:18:29.880000,HUL,27,0.46096421775406204,2,1.0,0.22647220693450748,0.4004543805121247,0.11116370275204546,MEDIUM,0.02564102564102564,1,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:20:09.005000,HUL,27,0.46322639023806045,3,1.0,0.22860122237349007,0.40099080195004966,0.11101494353911695,MEDIUM,0.038461538461538464,1,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:21:47.304000,HUL,27,0.45223489334522116,4,1.0,0.22225762535121518,0.39632078001987914,0.10977077557644194,MEDIUM,0.05128205128205128,1,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:23:32.808000,HUL,27,0.5481110859758616,5,1.0,0.22505286330851892,0.4479750090718332,0.1603218608425181,MEDIUM,0.0641025641025641,1,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:27:46.719000,HUL,27,0.45347243476293775,7,2.0,0.2174637198389479,0.40166921729801364,0.11092027858543513,MEDIUM,0.08974358974358974,0,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:29:25.563000,HUL,27,0.4594871521909807,8,2.0,0.22445905628131968,0.40452487259990855,0.10805328284535803,MEDIUM,0.10256410256410256,0,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:31:04.264000,HUL,27,0.4575842659250289,9,2.0,0.22283694928019004,0.399996844579777,0.11151531543714926,MEDIUM,0.11538461538461538,0,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:32:52.833000,HUL,27,0.5888967251726571,10,2.0,0.22828259421255392,0.4861082624678542,0.16606937588748394,MEDIUM,0.1282051282051282,0,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
