GP,Driver,Stint,Compound,StintLength,AirTemp,TrackTemp
Belgian Grand Prix,PER,1,SOFT,13,18.38888888888889,28.46111111111111
Belgian Grand Prix,PER,2,MEDIUM,16,17.670588235294115,26.988235294117647
Belgian Grand Prix,PER,3,SOFT,15,18.827777777777776,28.761111111111113
Belgian Grand Prix,RIC,1,SOFT,5,18.337500000000002,28.0375
Belgian Grand Prix,RIC,2,MEDIUM,17,18.089473684210525,28.205263157894734
Belgian Grand Prix,RIC,3,MEDIUM,22,18.14090909090909,28.663636363636364
Belgian Grand Prix,RUS,1,MEDIUM,22,18.161538461538463,28.415384615384614
Belgian Grand Prix,RUS,2,SOFT,22,18.224,28.092
Belgian Grand Prix,SAI,1,SOFT,7,18.372727272727275,28.29090909090909
Belgian Grand Prix,SAI,2,MEDIUM,16,18.021052631578947,27.31578947368421
Belgian Grand Prix,SAR,1,SOFT,8,18.358333333333334,28.108333333333334
Belgian Grand Prix,SAR,2,MEDIUM,16,17.8625,27.85
Belgian Grand Prix,SAR,3,MEDIUM,10,17.669999999999998,28.72
Belgian Grand Prix,SAR,4,SOFT,10,18.830000000000002,29.339999999999996
Belgian Grand Prix,STR,1,MEDIUM,20,18.177272727272726,29.013636363636362
Belgian Grand Prix,STR,2,SOFT,24,18.116,28.2
Belgian Grand Prix,TSU,1,MEDIUM,9,18.33076923076923,28.5
Belgian Grand Prix,TSU,2,MEDIUM,15,17.96470588235294,27.34705882352941
Belgian Grand Prix,TSU,3,SOFT,20,18.304761904761904,28.757142857142856
Belgian Grand Prix,VER,1,SOFT,14,18.344444444444445,28.700000000000003
Belgian Grand Prix,VER,2,MEDIUM,16,17.76111111111111,26.833333333333332
Belgian Grand Prix,VER,3,SOFT,14,18.876470588235293,28.66470588235294
Belgian Grand Prix,ZHO,1,SOFT,7,18.3,28.589999999999996
Belgian Grand Prix,ZHO,2,MEDIUM,18,17.96,27.47
Belgian Grand Prix,ZHO,3,SOFT,19,18.31578947368421,29.194736842105264
British Grand Prix,ALB,1,MEDIUM,32,21.267441860465116,29.016279069767442
British Grand Prix,ALB,2,SOFT,24,21.95,30.560000000000002
British Grand Prix,ALO,1,MEDIUM,34,21.47906976744186,30.172093023255815
British Grand Prix,ALO,2,SOFT,22,22.79259259259259,34.41481481481482
British Grand Prix,BOT,1,HARD,32,22.00862068965517,31.124137931034483
British Grand Prix,BOT,2,SOFT,20,22.404545454545453,31.904545454545453
British Grand Prix,DEV,1,SOFT,27,22.083673469387755,30.648979591836735
British Grand Prix,DEV,2,MEDIUM,5,23.242105263157896,34.53684210526316
British Grand Prix,DEV,3,SOFT,20,23.12121212121212,32.75151515151515
British Grand Prix,GAS,1,MEDIUM,31,21.95357142857143,31.2
British Grand Prix,GAS,2,SOFT,17,21.577777777777776,28.983333333333334
British Grand Prix,HAM,1,MEDIUM,33,21.678431372549017,30.492156862745095
British Grand Prix,HAM,2,SOFT,22,22.24230769230769,30.950000000000003
British Grand Prix,HUL,1,HARD,7,23.095,32.61
British Grand Prix,HUL,2,MEDIUM,25,21.34,30.042857142857144
British Grand Prix,HUL,3,SOFT,20,23.65,32.89772727272727
British Grand Prix,LEC,1,MEDIUM,18,21.568181818181817,30.386363636363637
British Grand Prix,LEC,2,HARD,14,21.348148148148148,30.01111111111111
British Grand Prix,LEC,3,MEDIUM,20,21.522727272727273,29.113636363636363
British Grand Prix,MAG,1,MEDIUM,31,21.6475,31.085
British Grand Prix,NOR,1,MEDIUM,33,21.66938775510204,30.597959183673467
British Grand Prix,NOR,2,HARD,19,22.357894736842105,31.021052631578947
British Grand Prix,OCO,1,SOFT,9,22.17391304347826,28.604347826086954
British Grand Prix,PER,1,MEDIUM,28,21.639024390243904,30.07560975609756
British Grand Prix,PER,2,SOFT,24,22.17096774193548,32.68709677419355
British Grand Prix,PIA,1,MEDIUM,29,21.860869565217392,30.13478260869565
British Grand Prix,PIA,2,HARD,23,21.95,31.045833333333334
British Grand Prix,RUS,1,SOFT,31,21.667391304347827,30.130434782608695
British Grand Prix,RUS,2,MEDIUM,24,22.00344827586207,32.03103448275862
British Grand Prix,SAI,1,MEDIUM,26,22.025,31.827499999999997
British Grand Prix,SAI,2,HARD,26,21.655555555555555,29.577777777777776
British Grand Prix,SAR,1,MEDIUM,29,21.853846153846153,31.107692307692307
British Grand Prix,SAR,2,SOFT,23,22.021875,30.134375
British Grand Prix,STR,1,MEDIUM,32,21.979166666666668,31.914583333333336
British Grand Prix,STR,2,SOFT,24,22.26875,32.68125
British Grand Prix,TSU,1,SOFT,14,22.710526315789473,31.757894736842104
British Grand Prix,TSU,2,HARD,18,21.46666666666667,31.44074074074074
British Grand Prix,TSU,3,SOFT,20,22.61764705882353,33.33529411764706
British Grand Prix,VER,1,MEDIUM,33,21.678,30.934
British Grand Prix,VER,2,SOFT,22,22.496666666666666,32.36666666666667
British Grand Prix,ZHO,1,MEDIUM,24,21.514285714285716,29.042857142857144
British Grand Prix,ZHO,2,HARD,9,22.842105263157894,36.17368421052631
British Grand Prix,ZHO,3,SOFT,2,24.077777777777776,34.94444444444444
British Grand Prix,ZHO,4,SOFT,19,22.485714285714284,32.938095238095244
Canadian Grand Prix,ALB,1,MEDIUM,13,19.06551724137931,29.475862068965515
Canadian Grand Prix,ALB,2,HARD,58,18.56756756756757,28.389189189189192
Canadian Grand Prix,ALO,1,MEDIUM,12,19.48,31.195999999999998
Canadian Grand Prix,ALO,2,HARD,29,18.659574468085108,28.138297872340427
Canadian Grand Prix,ALO,3,HARD,29,18.297727272727272,26.568181818181817
Canadian Grand Prix,BOT,1,HARD,36,19.319607843137256,31.298039215686277
Canadian Grand Prix,BOT,2,MEDIUM,34,17.96153846153846,25.89423076923077
Canadian Grand Prix,DEV,1,MEDIUM,11,19.424,30.8
Canadian Grand Prix,DEV,2,HARD,39,18.63859649122807,28.545614035087716
Canadian Grand Prix,DEV,3,HARD,19,19.1625,28.47083333333333
Canadian Grand Prix,GAS,1,SOFT,10,18.926315789473687,27.79736842105263
Canadian Grand Prix,GAS,2,HARD,23,19.546153846153846,32.03846153846154
Canadian Grand Prix,GAS,3,HARD,37,20.098039215686274,30.764705882352942
Canadian Grand Prix,HAM,1,MEDIUM,12,20.34,32.46
Canadian Grand Prix,HAM,2,HARD,28,18.458536585365852,27.882926829268293
Canadian Grand Prix,HAM,3,MEDIUM,30,18.93421052631579,28.26842105263158
Canadian Grand Prix,HUL,1,MEDIUM,11,18.989655172413794,29.482758620689655
