GP,Driver,Stint,Compound,StintLength,AirTemp,TrackTemp,FreshTyre,RaceProgress,YellowLaps,SCLaps,VSCLaps,RedFlagLaps
Austrian Grand Prix,VER,1,MEDIUM,2,26.35,42.81,1,0.0140845070422535,1,6,0,0
Austrian Grand Prix,VER,2,MEDIUM,24,23.98275862068965,35.86551724137931,0,0.0422535211267605,2,1,3,0
Austrian Grand Prix,VER,3,HARD,25,24.339473684210525,36.63157894736842,1,0.352112676056338,2,0,3,0
Austrian Grand Prix,VER,4,MEDIUM,20,24.223333333333336,35.39666666666667,1,0.704225352112676,1,0,3,0
Austrian Grand Prix,VER,5,SOFT,5,24.35,34.425,0,0.9859154929577464,0,0,0,0
Austrian Grand Prix,ZHO,1,MEDIUM,2,26.675,44.175,1,0.0140845070422535,1,5,0,0
Austrian Grand Prix,ZHO,2,MEDIUM,8,24.344444444444445,36.68888888888889,0,0.0422535211267605,0,1,0,0
Austrian Grand Prix,ZHO,3,HARD,30,24.242857142857144,36.61904761904762,1,0.1267605633802817,4,0,4,0
Austrian Grand Prix,ZHO,4,HARD,32,23.35135135135135,33.597297297297295,1,0.5492957746478874,0,0,0,0
Azerbaijan Grand Prix,ALB,1,MEDIUM,7,22.526666666666664,42.85333333333333,1,0.0196078431372549,1,0,0,0
Azerbaijan Grand Prix,ALB,2,HARD,44,24.704166666666666,40.36875,1,0.1568627450980392,4,6,0,0
Azerbaijan Grand Prix,ALO,1,MEDIUM,10,22.938888888888886,42.72777777777778,0,0.0196078431372549,2,0,0,0
Azerbaijan Grand Prix,ALO,2,HARD,40,24.69772727272728,40.27727272727273,0,0.2745098039215686,4,3,0,0
Azerbaijan Grand Prix,BOT,1,MEDIUM,6,22.37857142857143,42.85714285714285,1,0.0196078431372549,1,0,0,0
Azerbaijan Grand Prix,BOT,2,HARD,6,22.98,43.53,1,0.1372549019607843,2,6,0,0
