GP,Driver,Stint,Compound,StintLength,AirTemp,TrackTemp,FreshTyre,RaceProgress,YellowLaps,SCLaps,VSCLaps,RedFlagLaps,CircuitType_x,TrackLength_x,CircuitType_y,TrackLength_y,CircuitType,TrackLength,TrackAbrasiveness
Austrian Grand Prix,ALB,3,HARD,27,23.10666666666667,33.21666666666667,1,0.2112676056338028,0,0,1,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,ALB,4,HARD,30,22.97878787878788,32.31818181818182,1,0.5915492957746479,0,0,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,ALO,1,HARD,2,26.50909090909091,43.33636363636364,1,0.0140845070422535,1,6,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,ALO,2,HARD,15,24.47894736842105,37.38947368421052,0,0.0422535211267605,3,1,2,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,ALO,3,MEDIUM,29,23.541666666666668,34.18611111111111,0,0.2253521126760563,1,0,4,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,ALO,4,MEDIUM,27,24.55714285714286,36.82380952380952,1,0.6338028169014085,1,0,2,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,BOT,1,HARD,2,26.58181818181818,44.46363636363637,1,0.0140845070422535,1,4,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,BOT,2,HARD,21,24.85806451612904,38.53548387096774,0,0.0422535211267605,4,1,6,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,BOT,3,MEDIUM,19,23.22272727272728,33.33181818181818,1,0.3098591549295774,0,0,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,BOT,4,HARD,30,23.43055555555556,33.544444444444444,1,0.5774647887323944,0,0,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,DEV,1,MEDIUM,2,26.33,42.3,1,0.0140845070422535,1,6,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,DEV,2,MEDIUM,12,25.504761904761907,40.266666666666666,0,0.0422535211267605,2,1,2,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,DEV,3,HARD,25,24.51052631578948,37.37105263157895,1,0.1830985915492957,2,0,2,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,DEV,4,MEDIUM,33,23.70487804878049,34.68292682926829,1,0.5352112676056338,0,0,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,GAS,1,MEDIUM,2,26.31111111111112,43.22222222222222,1,0.0140845070422535,1,5,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,GAS,2,MEDIUM,14,24.73684210526316,38.15263157894736,0,0.0422535211267605,2,1,1,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,GAS,3,HARD,30,23.945,35.665,1,0.2112676056338028,1,0,5,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,GAS,4,MEDIUM,27,23.212903225806453,32.91290322580645,1,0.6338028169014085,0,0,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
